id,trigger,conditions,script,text,options,notes
shipTrophyIsaMasterworkCompleteOptionsNew,ShipTrophyIsaMasterworkCompleteOptions,!IsaContactRulesCMD unlockSeen awe,"SetOptionColor ship_trophy_isa_masterwork_2 highlight
SetTooltip ship_trophy_isa_masterwork_2 ""Isa has completed her masterwork.""
SetShortcut ship_trophy_isa_close ""ESCAPE""",,"0:ship_trophy_isa_masterwork_2:""You made something useful, then?""
90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMasterworkCompleteOptionsSeen,ShipTrophyIsaMasterworkCompleteOptions,IsaContactRulesCMD unlockSeen awe,"SetTooltip ship_trophy_isa_masterwork_2 ""Isa has completed her masterwork.""
SetShortcut ship_trophy_isa_close ""ESCAPE""",,"0:ship_trophy_isa_masterwork_2:""You made something useful, then?""
90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMasterworkUnlock,DialogOptionSelected,$option == ship_trophy_isa_masterwork_2,"IsaContactRulesCMD markUnlockSeen awe
SetTextHighlightColors hColor
SetTextHighlights ""Received Awe modspec.""","""Useful?"" Isa grins. She pinches the web down to a single rotating modspec and flicks it from her terminal to yours. ""Commander, this is my Magnum Opus. Your ships will have never sung so beautifully in their lives.""

Received Awe modspec.","0:ship_trophy_isa_masterwork_3:""It's named 'Awe'? Modest of you.""",
shipTrophyIsaMasterworkUnlockEnd,DialogOptionSelected,$option == ship_trophy_isa_masterwork_3,"SetShortcut ship_trophy_isa_close ""ESCAPE""","""I considered 'Isa Leicester Is The Best,'"" she says. ""Marketing talked me down.""

She is still smiling when she turns back to the five ships.","0:ship_trophy_isa_masterwork:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaUniquesHub,DialogOptionSelected,$option == ship_trophy_isa_uniques,"IsaContactRulesCMD prepare
IsaContactRulesCMD refreshStats
FireAll ShipTrophyIsaUniqueIntro
IsaContactRulesCMD showUniqueStatus vanilla
FireAll ShipTrophyIsaUniqueOptionsVanilla",,,
shipTrophyIsaModdedUniquesHub,DialogOptionSelected,$option == ship_trophy_isa_modded_uniques,"IsaContactRulesCMD prepare
IsaContactRulesCMD refreshStats
FireAll ShipTrophyIsaUniqueIntro
IsaContactRulesCMD showUniqueStatus modded
FireAll ShipTrophyIsaUniqueOptionsModded",,,
shipTrophyIsaUniqueIntro,ShipTrophyIsaUniqueIntro,,,"""Some hulls are so singular they don't need a doctrine category,"" Isa says. ""Either we have one, or we don't.""",,
shipTrophyIsaGazeOptionLocked,ShipTrophyIsaUniqueOptionsVanilla,!IsaContactRulesCMD uniqueShowcased gaze,"SetTooltip ship_trophy_isa_gaze ""Requires the Ziggurat display""",,10:ship_trophy_isa_gaze:Discuss the Ziggurat.,
shipTrophyIsaGazeOptionNew,ShipTrophyIsaUniqueOptionsVanilla,"IsaContactRulesCMD uniqueShowcased gaze
!IsaContactRulesCMD unlockSeen gaze","SetOptionColor ship_trophy_isa_gaze highlight
SetTooltip ship_trophy_isa_gaze ""Unlocked: Gaze""",,10:ship_trophy_isa_gaze:Discuss the Ziggurat.,
shipTrophyIsaGazeOptionSeen,ShipTrophyIsaUniqueOptionsVanilla,"IsaContactRulesCMD uniqueShowcased gaze
IsaContactRulesCMD unlockSeen gaze","SetTooltip ship_trophy_isa_gaze ""Unlocked: Gaze""",,10:ship_trophy_isa_gaze:Discuss the Ziggurat.,
shipTrophyIsaContemptOptionLocked,ShipTrophyIsaUniqueOptionsVanilla,!IsaContactRulesCMD uniqueShowcased contempt,"SetTooltip ship_trophy_isa_contempt ""Requires the Onslaught Mk.I display""",,20:ship_trophy_isa_contempt:Discuss the Onslaught Mk.I.,
shipTrophyIsaContemptOptionNew,ShipTrophyIsaUniqueOptionsVanilla,"IsaContactRulesCMD uniqueShowcased contempt
!IsaContactRulesCMD unlockSeen contempt","SetOptionColor ship_trophy_isa_contempt highlight
SetTooltip ship_trophy_isa_contempt ""Unlocked: Contempt""",,20:ship_trophy_isa_contempt:Discuss the Onslaught Mk.I.,
shipTrophyIsaContemptOptionSeen,ShipTrophyIsaUniqueOptionsVanilla,"IsaContactRulesCMD uniqueShowcased contempt
IsaContactRulesCMD unlockSeen contempt","SetTooltip ship_trophy_isa_contempt ""Unlocked: Contempt""",,20:ship_trophy_isa_contempt:Discuss the Onslaught Mk.I.,
shipTrophyIsaGenericVanillaOptions,ShipTrophyIsaUniqueOptionsVanilla,,IsaContactOptionsCMD populateGenericUniqueOptions vanilla,,,
shipTrophyIsaUniqueVanillaBack,ShipTrophyIsaUniqueOptionsVanilla,,"SetShortcut ship_trophy_isa_close ""ESCAPE""",,"90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMercyOptionLocked,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive mercy
!IsaContactRulesCMD uniqueShowcased mercy","SetTooltip ship_trophy_isa_mercy ""Requires Abundant Mercy from Knights Hospitaller""",,10:ship_trophy_isa_mercy:Discuss Abundant Mercy.,
shipTrophyIsaMercyOptionNew,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive mercy
IsaContactRulesCMD uniqueShowcased mercy
!IsaContactRulesCMD unlockSeen mercy","SetOptionColor ship_trophy_isa_mercy highlight
SetTooltip ship_trophy_isa_mercy ""Unlocked: Vow""",,10:ship_trophy_isa_mercy:Discuss Abundant Mercy.,
shipTrophyIsaMercyOptionSeen,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive mercy
IsaContactRulesCMD uniqueShowcased mercy
IsaContactRulesCMD unlockSeen mercy","SetTooltip ship_trophy_isa_mercy ""Unlocked: Vow""",,10:ship_trophy_isa_mercy:Discuss Abundant Mercy.,
shipTrophyIsaLionOptionLocked,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive lion
!IsaContactRulesCMD uniqueShowcased lion","SetTooltip ship_trophy_isa_lion ""Requires The Black Lion from Black Lion Ships""",,20:ship_trophy_isa_lion:Discuss The Black Lion.,
shipTrophyIsaLionOptionNew,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive lion
IsaContactRulesCMD uniqueShowcased lion
!IsaContactRulesCMD unlockSeen lion","SetOptionColor ship_trophy_isa_lion highlight
SetTooltip ship_trophy_isa_lion ""Unlocked: Inheritance""",,20:ship_trophy_isa_lion:Discuss The Black Lion.,
shipTrophyIsaLionOptionSeen,ShipTrophyIsaUniqueOptionsModded,"IsaContactRulesCMD uniqueActive lion
IsaContactRulesCMD uniqueShowcased lion
IsaContactRulesCMD unlockSeen lion","SetTooltip ship_trophy_isa_lion ""Unlocked: Inheritance""",,20:ship_trophy_isa_lion:Discuss The Black Lion.,
shipTrophyIsaGenericModdedOptions,ShipTrophyIsaUniqueOptionsModded,,IsaContactOptionsCMD populateGenericUniqueOptions modded,,,
shipTrophyIsaUniqueModdedBack,ShipTrophyIsaUniqueOptionsModded,,"SetShortcut ship_trophy_isa_close ""ESCAPE""",,"90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGazeLocked,DialogOptionSelected,"$option == ship_trophy_isa_gaze
!IsaContactRulesCMD uniqueShowcased gaze","SetShortcut ship_trophy_isa_close ""ESCAPE""","""If you ever find out what Tri-Tach was working on in their blacksites, come find me. Quietly.""","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGazeUnlocked,DialogOptionSelected,"$option == ship_trophy_isa_gaze
IsaContactRulesCMD uniqueShowcased gaze","IsaContactRulesCMD prepare
FireAll ShipTrophyIsaGazeUnlockedText
FireBest ShipTrophyIsaGazeUnlockedOptions",,,
shipTrophyIsaGazeUnlockedText,ShipTrophyIsaGazeUnlockedText,,,"""This thing... Ziggurat... I don't like it. Commander, I recommend we isolate the thing. Seal off its display berth."" 

Isa rubs her temples. 

""At least until I can figure out where that damn ringing sound is coming from inside it."" 

Her rubbing intensifies; her frown deepens.",,
shipTrophyIsaGazeUnlockedOptionsNew,ShipTrophyIsaGazeUnlockedOptions,!IsaContactRulesCMD unlockSeen gaze,"SetOptionColor ship_trophy_isa_gaze_2 highlight
SetTooltip ship_trophy_isa_gaze_2 ""Isa has completed the Gaze modspec.""",,"0:ship_trophy_isa_gaze_2:""Take care of yourself, Isa.""
90:ship_trophy_isa_uniques:Back.",
shipTrophyIsaGazeUnlockedOptionsSeen,ShipTrophyIsaGazeUnlockedOptions,IsaContactRulesCMD unlockSeen gaze,"SetTooltip ship_trophy_isa_gaze_2 ""Isa has completed the Gaze modspec.""",,"0:ship_trophy_isa_gaze_2:""Take care of yourself, Isa.""
90:ship_trophy_isa_uniques:Back.",
shipTrophyIsaGazeUnlock,DialogOptionSelected,$option == ship_trophy_isa_gaze_2,"IsaContactRulesCMD markUnlockSeen gaze
SetTextHighlightColors hColor
SetTextHighlights ""Received Gaze modspec.""","""I know, I know."" Isa waves at the hologram on her Tri-pad, and a modspec flies from her terminal to yours. ""Those are my findings from that abomination.""

Received Gaze modspec.","0:ship_trophy_isa_gaze_3:""Thanks, Chief. Take the day off.""",
shipTrophyIsaGazeEnd,DialogOptionSelected,$option == ship_trophy_isa_gaze_3,"SetShortcut ship_trophy_isa_close ""ESCAPE""","""Thaaanks."" Isa waves as she walks off.

You hear her mutter, ""The hell is that sound? Some kind of structural acoustics?""","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaContemptLocked,DialogOptionSelected,"$option == ship_trophy_isa_contempt
!IsaContactRulesCMD uniqueShowcased contempt","SetShortcut ship_trophy_isa_close ""ESCAPE""","""Say, Cap. Let me know if you find any... legendary, near mythical ship frames from the early Domain Era out there. 'Kay?""","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaContemptUnlocked,DialogOptionSelected,"$option == ship_trophy_isa_contempt
IsaContactRulesCMD uniqueShowcased contempt","IsaContactRulesCMD prepare
FireAll ShipTrophyIsaContemptUnlockedText
FireBest ShipTrophyIsaContemptUnlockedOptions",,,
shipTrophyIsaContemptUnlockedText,ShipTrophyIsaContemptUnlockedText,,,"The workshop is silent.

Isa's entire team has gathered beneath the Onslaught Mk.I's projected silhouette. Salvagers who normally argue over stripped bolts stand shoulder to shoulder with yard engineers, all staring upward. The shape is crude and strangely proportioned, but unmistakable.

Isa does not look away when you enter.

""Do you understand what you brought home?"" she asks quietly. ""The Onslaught. The one every other has spent thousands of cycles trying to remember.""",,
shipTrophyIsaContemptUnlockedOptionsNew,ShipTrophyIsaContemptUnlockedOptions,!IsaContactRulesCMD unlockSeen contempt,"SetOptionColor ship_trophy_isa_contempt_2 highlight
SetTooltip ship_trophy_isa_contempt_2 ""Isa has completed the Contempt modspec.""",,"0:ship_trophy_isa_contempt_2:""You sound like a Galactic Redeemer.""
90:ship_trophy_isa_uniques:Back.",
shipTrophyIsaContemptUnlockedOptionsSeen,ShipTrophyIsaContemptUnlockedOptions,IsaContactRulesCMD unlockSeen contempt,"SetTooltip ship_trophy_isa_contempt_2 ""Isa has completed the Contempt modspec.""",,"0:ship_trophy_isa_contempt_2:""You sound like a Galactic Redeemer.""
90:ship_trophy_isa_uniques:Back.",
shipTrophyIsaContemptTwo,DialogOptionSelected,$option == ship_trophy_isa_contempt_2,IsaContactRulesCMD markUnlockSeen contempt,"""We have our own saints."" Isa finally lowers her eyes. ""I've heard the Mk.I be called a myth. The Domain's navy, its forges, its gates, all hammered into one heroic hammer and sent to fight some impossible enemy in the dark.""

She looks back at the ancient hull.

""Then one day the myth drifts out of the abyss.""","0:ship_trophy_isa_contempt_3:""What remains?""",
shipTrophyIsaContemptThree,DialogOptionSelected,$option == ship_trophy_isa_contempt_3,,"""Enough."" The reverence in Isa's voice gives way to mounting professional excitement. She unfolds diagrams of the replaceable vambrace armor, the shieldless hull, and the electromechanical automation whispering through every major system.

""The crew kept rebuilding themselves alongside it. Wounded, augmented, replaced, until the people and the ship stopped being separate things. All that remained was a factory serial and one final order repeated across the ages.""

A fire-control pattern detaches from the diagrams. You recall what the ship said when you were there.",0:ship_trophy_isa_contempt_4:Threat detected.,
shipTrophyIsaContemptFour,DialogOptionSelected,$option == ship_trophy_isa_contempt_4,"SetTextHighlightColors hColor
SetTextHighlights ""Received Contempt modspec.""","Isa sends the pattern to your terminal.

Received Contempt modspec.","0:ship_trophy_isa_contempt_5:""Contempt.""",
shipTrophyIsaContemptFive,DialogOptionSelected,$option == ship_trophy_isa_contempt_5,,"""Seemed appropriate."" Isa glances toward the gathered engineers. ""Give us another minute before you open the berth to visitors, Commander.""","0:ship_trophy_isa_contempt_6:""Have you found what happened to the original crew?""",
shipTrophyIsaContemptSix,DialogOptionSelected,$option == ship_trophy_isa_contempt_6,"SetShortcut ship_trophy_isa_close ""ESCAPE""","Isa shakes her head. ""Anything... 'sentient' has long died out. There's nothing left in those drives but empty subroutines and a bunch of weights and neural nets.""

Isa puts her hand over her heart. ""Rest in peace, now.""","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMercyLocked,DialogOptionSelected,"$option == ship_trophy_isa_mercy
!IsaContactRulesCMD uniqueShowcased mercy","SetShortcut ship_trophy_isa_close ""ESCAPE""","""Keep an eye out for Abundant Mercy, the Knights Hospitaller's Invictus-pattern ships. If you get it into the network, I want a separate ledger for it.""","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaMercyUnlocked,DialogOptionSelected,"$option == ship_trophy_isa_mercy
IsaContactRulesCMD uniqueShowcased mercy","IsaContactRulesCMD prepare
FireAll ShipTrophyIsaMercyUnlockedText
FireBest ShipTrophyIsaMercyUnlockedOptions",,,
shipTrophyIsaMercyUnlockedText,ShipTrophyIsaMercyUnlockedText,,,"Isa stands beneath the Abundant Mercy's projected silhouette, unusually quiet.

""Invictus-patterns we see around these parts are built around deciding who dies,"" she says. ""This one was built around deciding who gets another chance. Every launch rail, every damage-control route, every recovery station. It all points the same way.""",,
shipTrophyIsaMercyUnlockedOptionsNew,ShipTrophyIsaMercyUnlockedOptions,!IsaContactRulesCMD unlockSeen mercy,"SetOptionColor ship_trophy_isa_mercy_2 highlight
SetTooltip ship_trophy_isa_mercy_2 ""Isa has completed the Vow modspec.""",,"0:ship_trophy_isa_mercy_2:""Can our crews reproduce it?""
90:ship_trophy_isa_modded_uniques:Back.",
shipTrophyIsaMercyUnlockedOptionsSeen,ShipTrophyIsaMercyUnlockedOptions,IsaContactRulesCMD unlockSeen mercy,"SetTooltip ship_trophy_isa_mercy_2 ""Isa has completed the Vow modspec.""",,"0:ship_trophy_isa_mercy_2:""Can our crews reproduce it?""
90:ship_trophy_isa_modded_uniques:Back.",
shipTrophyIsaMercyTwo,DialogOptionSelected,$option == ship_trophy_isa_mercy_2,"IsaContactRulesCMD markUnlockSeen mercy
SetTextHighlightColors hColor
SetTextHighlights ""Received Vow modspec.""","""I told you, right? My team's the best in the Sec."" Isa sends a pale-gold modspec to your terminal. ""This is as close as I can get without asking the ship to grow a halo.""

Received Vow modspec.","0:ship_trophy_isa_mercy_3:""That's close enough.""",
shipTrophyIsaMercyThree,DialogOptionSelected,$option == ship_trophy_isa_mercy_3,"SetShortcut ship_trophy_isa_close ""ESCAPE""","Isa nods toward the Mercy. ""For a first draft.""","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaLionLocked,DialogOptionSelected,"$option == ship_trophy_isa_lion
!IsaContactRulesCMD uniqueShowcased lion","SetShortcut ship_trophy_isa_close ""ESCAPE""","""Keep an eye out for The Black Lion from Black Lion Ships. If you get it into the network, I want a separate ledger for it. That hull is not just another class entry.""","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaLionUnlocked,DialogOptionSelected,"$option == ship_trophy_isa_lion
IsaContactRulesCMD uniqueShowcased lion","IsaContactRulesCMD prepare
FireAll ShipTrophyIsaLionUnlockedText
FireBest ShipTrophyIsaLionUnlockedOptions",,,
shipTrophyIsaLionUnlockedText,ShipTrophyIsaLionUnlockedText,,,"The Black Lion's energy grid fills Isa's terminal in layers of gold and warning red. She peels them apart one by one, frowning harder each time.

""This ship is showing off,"" she says. ""And the annoying part is that it has every right to. A temporal shell? On a ship that size?""",,
shipTrophyIsaLionUnlockedOptionsNew,ShipTrophyIsaLionUnlockedOptions,!IsaContactRulesCMD unlockSeen lion,"SetOptionColor ship_trophy_isa_lion_2 highlight
SetTooltip ship_trophy_isa_lion_2 ""Isa has completed the Inheritance modspec.""",,"0:ship_trophy_isa_lion_2:""High praise, coming from you.""
90:ship_trophy_isa_modded_uniques:Back.",
shipTrophyIsaLionUnlockedOptionsSeen,ShipTrophyIsaLionUnlockedOptions,IsaContactRulesCMD unlockSeen lion,"SetTooltip ship_trophy_isa_lion_2 ""Isa has completed the Inheritance modspec.""",,"0:ship_trophy_isa_lion_2:""High praise, coming from you.""
90:ship_trophy_isa_modded_uniques:Back.",
shipTrophyIsaLionTwo,DialogOptionSelected,$option == ship_trophy_isa_lion_2,"IsaContactRulesCMD markUnlockSeen lion
SetTextHighlightColors hColor
SetTextHighlights ""Received Inheritance modspec.""","""Professional recognition."" Isa gathers the brightest layers into a new file and pushes it across the link. ""I stripped out the vanity. Mostly.""

Received Inheritance modspec.","0:ship_trophy_isa_lion_3:""What did you leave in?""",
shipTrophyIsaLionThree,DialogOptionSelected,$option == ship_trophy_isa_lion_3,"SetShortcut ship_trophy_isa_close ""ESCAPE""","""The part that wins... 'disagreements',"" she says. ""Kinetic ones.""","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGenericUniqueSelected,DialogOptionSelected,IsaContactRulesCMD isGenericUniqueOption,"IsaContactRulesCMD prepareUniqueFromOption
FireBest ShipTrophyIsaGenericUniqueState",,,
shipTrophyIsaGenericUniqueInactive,ShipTrophyIsaGenericUniqueState,!IsaContactRulesCMD currentUniqueActive,"SetShortcut ship_trophy_isa_close ""ESCAPE""","""That ledger isn't active right now,"" Isa says. ""Might be a missing mod, might be a bad index.""","0:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGenericUniqueLockedVanilla,ShipTrophyIsaGenericUniqueState,"IsaContactRulesCMD currentUniqueActive
!IsaContactRulesCMD currentUniqueShowcased
!IsaContactRulesCMD currentUniqueModded","SetTextHighlightColors hColor
SetTextHighlights $shipTrophyIsaUniqueShowcaseName
SetShortcut ship_trophy_isa_close ""ESCAPE""","""If you can get $shipTrophyIsaUniqueShowcaseName into the network, I want a separate ledger for it. That hull is not just another class entry.""","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGenericUniqueLockedModded,ShipTrophyIsaGenericUniqueState,"IsaContactRulesCMD currentUniqueActive
!IsaContactRulesCMD currentUniqueShowcased
IsaContactRulesCMD currentUniqueModded","SetTextHighlightColors hColor
SetTextHighlights $shipTrophyIsaUniqueShowcaseName
SetShortcut ship_trophy_isa_close ""ESCAPE""","""If you can get $shipTrophyIsaUniqueShowcaseName into the network, I want a separate ledger for it. That hull is not just another class entry.""","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGenericUniqueUnlockedVanilla,ShipTrophyIsaGenericUniqueState,"IsaContactRulesCMD currentUniqueActive
IsaContactRulesCMD currentUniqueShowcased
!IsaContactRulesCMD currentUniqueModded","IsaContactRulesCMD markCurrentUniqueSeen
SetTextHighlightColors hColor hColor
SetTextHighlights $shipTrophyIsaUniqueShowcaseName $shipTrophyIsaUniqueReceipt
SetShortcut ship_trophy_isa_close ""ESCAPE""","""The $shipTrophyIsaUniqueShowcaseName ledger is live. Good. I wanted that one treated as its own exhibit, not filed under the stock hull.""

$shipTrophyIsaUniqueReceipt","0:ship_trophy_isa_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaGenericUniqueUnlockedModded,ShipTrophyIsaGenericUniqueState,"IsaContactRulesCMD currentUniqueActive
IsaContactRulesCMD currentUniqueShowcased
IsaContactRulesCMD currentUniqueModded","IsaContactRulesCMD markCurrentUniqueSeen
SetTextHighlightColors hColor hColor
SetTextHighlights $shipTrophyIsaUniqueShowcaseName $shipTrophyIsaUniqueReceipt
SetShortcut ship_trophy_isa_close ""ESCAPE""","""The $shipTrophyIsaUniqueShowcaseName ledger is live. Good. I wanted that one treated as its own exhibit, not filed under the stock hull.""

$shipTrophyIsaUniqueReceipt","0:ship_trophy_isa_modded_uniques:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaSubtypesHub,DialogOptionSelected,$option == ship_trophy_isa_subtypes,"IsaContactRulesCMD refreshStats
FireAll ShipTrophyIsaSubtypeIntro
FireAll ShipTrophyIsaSubtypeOptionsVanilla",,,
shipTrophyIsaModdedSubtypesHub,DialogOptionSelected,$option == ship_trophy_isa_modded_subtypes,"IsaContactRulesCMD refreshStats
FireAll ShipTrophyIsaSubtypeIntro
FireAll ShipTrophyIsaSubtypeOptionsModded",,,
shipTrophyIsaSubtypeIntro,ShipTrophyIsaSubtypeIntro,,,"""Pick a family and I'll tell you whether the displays have enough mass to teach us anything useful.""",,
shipTrophyIsaSubtypeDynamicOptionsVanilla,ShipTrophyIsaSubtypeOptionsVanilla,,IsaContactOptionsCMD populateSubtypeOptions vanilla,,,
shipTrophyIsaSubtypeBackVanilla,ShipTrophyIsaSubtypeOptionsVanilla,,"SetShortcut ship_trophy_isa_close ""ESCAPE""",,"90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
shipTrophyIsaSubtypeDynamicOptionsModded,ShipTrophyIsaSubtypeOptionsModded,,IsaContactOptionsCMD populateSubtypeOptions modded,,,
shipTrophyIsaSubtypeBackModded,ShipTrophyIsaSubtypeOptionsModded,,"SetShortcut ship_trophy_isa_close ""ESCAPE""",,"90:ship_trophy_isa_open:Back.
100:ship_trophy_isa_close:Cut the comm link.",
